site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price
Alfatah,SHEZAN JAM STRAWBERRY 370 GM,275.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_5_98ca92e5-1334-4998-aee9-16da17b3ea41.png?v=1749894925,https://alfatah.pk/products/shezan-jam-strawberry-440-gm,370.0,g,0,370.0,no-pack,0.7432432432432432,PKR/g,275.0
Alfatah,SHEZAN JAM MANGO 370 GM,275.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_38_b2141e2a-8668-455b-8ea0-20571841c641.png?v=1744624835,https://alfatah.pk/products/shezan-jam-mango-440-gm,370.0,g,0,370.0,no-pack,0.7432432432432432,PKR/g,275.0
Alfatah,SALMAN JAM BLACK FIG 450 GM,385.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8964000034064.jpg?v=1690225713,https://alfatah.pk/products/salman-jam-black-fig-450-gm,450.0,g,0,450.0,no-pack,0.8555555555555555,PKR/g,385.0
Alfatah,FRUIT TREE JAM PEACH 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008441218.jpg?v=1690215148,https://alfatah.pk/products/fruit-tree-jam-peach-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,FRUIT TREE JAM RASPBERRY 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008440778.jpg?v=1690215153,https://alfatah.pk/products/fruit-tree-jam-raspberry-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,FRUIT TREE JAM PINEAPPLE 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008440662.jpg?v=1690215150,https://alfatah.pk/products/fruit-tree-jam-pineapple-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,FRUIT TREE JAM MANGO 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008884404.jpg?v=1742034601,https://alfatah.pk/products/fruit-tree-jam-mango-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,FRUIT TREE JAM STRAWBERRY 450 GM,1245.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_42_d3a1ebe6-8040-41c4-b9ed-a6239d230e68.png?v=1738911923,https://alfatah.pk/products/fruit-tree-jam-strawberry-450-gm,450.0,g,0,450.0,no-pack,2.7666666666666666,PKR/g,1245.0
Alfatah,FRUIT TREE JAM STRAWBERRY 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008440440.jpg?v=1690215155,https://alfatah.pk/products/fruit-tree-jam-strawberry-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,MITCHELLS JAM DIET STRAWBERRY 300 GM,320.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_8_3a4fd686-0552-408b-b23d-e2adcfef2771.png?v=1750226779,https://alfatah.pk/products/mitchells-jam-diet-strawberry-325-gm,300.0,g,0,300.0,no-pack,1.0666666666666667,PKR/g,320.0
Alfatah,MITCHELLS JAM STRAWBERRY TIN 1050 GM,695.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_2_037318f4-127a-4cc5-a146-321d6cc9b0d3.png?v=1759835505,https://alfatah.pk/products/mitchells-jam-strawberry-tin-1050-gm,1050.0,g,0,1050.0,no-pack,0.6619047619047619,PKR/g,695.0
Alfatah,NATIONAL JAM FRUIT MIX 440 GM,320.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_19_6b1556e3-3904-4c1d-bb2a-82029e01971e.png?v=1744973005,https://alfatah.pk/products/national-jam-fruit-mix-440-gm,440.0,g,0,440.0,no-pack,0.7272727272727273,PKR/g,320.0
Alfatah,SALMAN JAM MIXED FRUIT 450 GM,345.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000114588_43678c7d-cc35-4076-b037-222ba0e72f56.jpg?v=1750683300,https://alfatah.pk/products/salman-jam-mixed-fruit-450-gm,450.0,g,0,450.0,no-pack,0.7666666666666667,PKR/g,345.0
Alfatah,FRUIT TREE JAM RASPBERRY SUGAR FREE 270 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000110532-1000.png?v=1690215152,https://alfatah.pk/products/fruit-tree-jam-raspberry-sugar-free-270-gm,270.0,g,0,270.0,no-pack,2.759259259259259,PKR/g,745.0
Alfatah,MITCHELLS CHUNKY PEACH JAM 410 GM,499.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8961005914766_e7dc57d2-9654-443f-97b9-9fc94895d96f.jpg?v=1735888858,https://alfatah.pk/products/mitchells-chunky-peach-jam-410-gm,410.0,g,0,410.0,no-pack,1.2170731707317073,PKR/g,499.0
Alfatah,MITCHELLS CHUNKY STRAWBERRY JAM 410 GM,499.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8961005914735_a982be86-7345-4e1a-a384-8d868d9f8be1.jpg?v=1739002763,https://alfatah.pk/products/mitchells-chunky-strawberry-jam-410-gm,410.0,g,0,410.0,no-pack,1.2170731707317073,PKR/g,499.0
Alfatah,FRUIT TREE JAM RASPBERRY 450 GM,1245.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008445070_3cd3ba59-1ee9-4f9e-b1b4-d69231f0bd4e.jpg?v=1730547966,https://alfatah.pk/products/fruit-tree-jam-raspberry-450-gm,450.0,g,0,450.0,no-pack,2.7666666666666666,PKR/g,1245.0
Alfatah,FRUIT TREE JAM BLACKCURRANT 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/WhatsApp-Image-2020-09-02-at-2.35.56-PM.jpg?v=1690215133,https://alfatah.pk/products/fruit-tree-jam-blackcurrant-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,SHEZAN MIXED FRUIT JAM 1.8 KG,1045.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_3_dbf1ac7b-f836-42fc-b412-f83582592d44.png?v=1749894640,https://alfatah.pk/products/shezan-mixed-fruit-jam-1-8-kg,1.8,kg,0,1800.0,no-pack,0.5805555555555556,PKR/g,1045.0
Alfatah,FRUIT TREE JAM BLUEBERRY 440 GM,745.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9557008441119_ed92a66f-db22-4217-b6c4-e8cd9c239ed1.jpg?v=1746790486,https://alfatah.pk/products/fruit-tree-jam-blueberry-440-gm,440.0,g,0,440.0,no-pack,1.6931818181818181,PKR/g,745.0
Alfatah,MITCHELLS JAM FRUIT MIXED 410 GM,299.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_39_5e0e5ad0-d959-4ba3-808b-25a6f3f3de5f.png?v=1744625008,https://alfatah.pk/products/mitchells-jam-fruit-mixed-450-gm,410.0,g,0,410.0,no-pack,0.7292682926829268,PKR/g,299.0
Alfatah,MITCHELLS GOLDEN APPLE JAM 200 GM,175.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_42_dbcea36c-8884-4eb2-8839-c92eefdb8f2a.png?v=1744625194,https://alfatah.pk/products/mitchells-golden-apple-jam-200-gm,200.0,g,0,200.0,no-pack,0.875,PKR/g,175.0
