site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price
Naheed,"Fresh Street Salted Butter Portions, 8g Each, 10-Pack",575.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292189-1.jpg,https://www.naheed.pk/fresh-street-salted-butter-portions-8g-each-10-pack,8.0,g,0,8.0,no-pack,71.875,PKR/g,575.0
Naheed,"Fresh Street Un-Salted Butter Portions, 8g Each, 10-Pack",575.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292188-1.jpg,https://www.naheed.pk/fresh-street-un-salted-butter-portions-8g-each-10-pack,8.0,g,0,8.0,no-pack,71.875,PKR/g,575.0
Naheed,"Fresh Street Un-Salted Butter, 200g",720.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292186-1.jpg,https://www.naheed.pk/fresh-street-un-salted-butter-200g,200.0,g,0,200.0,no-pack,3.6,PKR/g,720.0
Naheed,"Fresh Street Salted Butter, 200g",720.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292185-1.jpg,https://www.naheed.pk/fresh-street-salted-butter-200g,200.0,g,0,200.0,no-pack,3.6,PKR/g,720.0
Naheed,"Fresh Street Salted Un-Salted Butter, 100g",380.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292184-1.jpg,https://www.naheed.pk/fresh-street-salted-un-salted-butter-100g,100.0,g,0,100.0,no-pack,3.8,PKR/g,380.0
Naheed,"Young's Peanut Butter Creamy, 450g",995.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292919-1.jpg,https://www.naheed.pk/young-s-peanut-butter-creamy-450gm,450.0,g,0,450.0,no-pack,2.2111111111111112,PKR/g,995.0
Naheed,"Fresh Street Garlic & Herbs Butter Portions, 10g Each, 10-Pack",1210.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1291541-1.jpg,https://www.naheed.pk/fresh-street-garlic-herbs-butter-portions-10g-each-10-pack,10.0,g,0,10.0,no-pack,121.0,PKR/g,1210.0
Naheed,"Fresh Street Salted Butter, 100g",380.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/2/1292183-1.jpg,https://www.naheed.pk/fresh-street-salted-butter-100g,100.0,g,0,100.0,no-pack,3.8,PKR/g,380.0
Naheed,"Dairy Life Salted Pure Butter, 200g",690.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/c/ic-1073164-1.jpg,https://www.naheed.pk/dairy-life-salted-pure-butter-200g,200.0,g,0,200.0,no-pack,3.45,PKR/g,690.0
Naheed,"Dairy Life Salted Pure Butter, 100g",370.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/c/ic-1068698-1.jpg,https://www.naheed.pk/dairy-life-salted-pure-butter-100g,100.0,g,0,100.0,no-pack,3.7,PKR/g,370.0
