site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price
Alfatah,INDOCAFE COFFEE SPECIAL BLEND INSTANT COFFEE 200 GM,2295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9311931192773_a2f57da2-b28a-427d-9b1f-5c5432481e8a.jpg?v=1751374162,https://alfatah.pk/products/indocafe-coffee-special-blend-instant-coffee-200-gm,200.0,g,0,200.0,no-pack,11.475,PKR/g,2295.0
Alfatah,INDO CAFE COFFEE INSTANT GOURMET 50 GM,675.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9311931192759_db0ac235-9ad1-4e22-819e-fa333d75c86c.jpg?v=1690217046,https://alfatah.pk/products/indo-cafe-coffee-instant-gourmet-50-gm,50.0,g,0,50.0,no-pack,13.5,PKR/g,675.0
Alfatah,INDO CAFE COFFEE INSTANT GOURMET 100 GM,1295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000286099.jpg?v=1743760637,https://alfatah.pk/products/indo-cafe-coffee-instant-gourmet-100-gm,100.0,g,0,100.0,no-pack,12.95,PKR/g,1295.0
Alfatah,PRIVATE CLUB COFFEE CARAMEL 100 GM,1295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_5_6cc4d635-2fd6-4428-bdaa-786dec86d472.png?v=1743833935,https://alfatah.pk/products/private-club-coffee-caramel-100-gm,100.0,g,0,100.0,no-pack,12.95,PKR/g,1295.0
Alfatah,NESTLE COFFEE MATE CREAMER 1 KG,2395.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_50_684117e1-e20f-4017-b766-56e1f1af8996.png?v=1735556339,https://alfatah.pk/products/nestle-coffee-mate-creamer-1-kg,1.0,kg,0,1000.0,no-pack,2.395,PKR/g,2395.0
Alfatah,NESCAFE COFFEE ORIGINAL EXTRAFORTE 100 GM,1495.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_f5558fa4-4d5c-4f31-8846-79cab0e1bb13.png?v=1761909610,https://alfatah.pk/products/nescafe-coffee-original-extraforte-100-gm,100.0,g,0,100.0,no-pack,14.95,PKR/g,1495.0
Alfatah,NESCAFE COFFEE MATINAL 100 GM,1495.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_53_4be374d8-05d8-41aa-bd0d-802f103c8869.png?v=1759582526,https://alfatah.pk/products/nescafe-coffee-matinal-100-gm,100.0,g,0,100.0,no-pack,14.95,PKR/g,1495.0
Alfatah,KLASSNO COFFEE CLASSIC PREMIUM BLEND 100 GM,1465.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000336344_45527d12-0e14-4e96-8003-9590d0075024.jpg?v=1755781416,https://alfatah.pk/products/klassno-coffee-classic-premium-blend-100-gm,100.0,g,0,100.0,no-pack,14.65,PKR/g,1465.0
Alfatah,NESTLE COFFEE MATE FRENCH VANILLA 425.2 GM,2195.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000004654.png?v=1690222079,https://alfatah.pk/products/nestle-coffee-mate-french-vanilla-425-2-gm,425.2,g,0,425.2,no-pack,5.162276575729069,PKR/g,2195.0
Alfatah,NESTLE COFFEE MATE CARAMEL LATTE 425.2 GM,2195.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000004698.png?v=1690222073,https://alfatah.pk/products/nestle-coffee-mate-caramel-macchiato-425-2-gm,425.2,g,0,425.2,no-pack,5.162276575729069,PKR/g,2195.0
Alfatah,KLASSNO COFFEE CAPPUCCINO WITH CHOCO SPRINKLE 23 GM,109.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_12_bbd1ddcb-fd66-4d69-82c3-9c6f3a6994a2.png?v=1743834394,https://alfatah.pk/products/klassno-coffee-cappuccino-with-choco-sprinkle-25-gm,23.0,g,0,23.0,no-pack,4.739130434782608,PKR/g,109.0
Alfatah,NESTLE COFFEE MATE HAZELNUT SUGAR FREE 289.1 GM,2195.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000004663.png?v=1690222083,https://alfatah.pk/products/nestle-coffee-mate-hazelnut-sugar-free-290-1-gm,289.1,g,0,289.1,no-pack,7.592528536838463,PKR/g,2195.0
Alfatah,INDOCAFE COFFEE ORIGINAL BLEND 200 GM,2295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/9311931082081_a2ffaa0b-d009-4d5e-8b98-6f7be8f5d024.jpg?v=1751374158,https://alfatah.pk/products/indocafe-coffee-original-blend-200-gm,200.0,g,0,200.0,no-pack,11.475,PKR/g,2295.0
Alfatah,NESCAFE COFFEE RED CUP 200 GM,3695.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8850128030029_5d53d50c-5f78-4eaf-9097-dcc33248641b.jpg?v=1728646829,https://alfatah.pk/products/nescafe-coffee-red-cup-200-gm,200.0,g,0,200.0,no-pack,18.475,PKR/g,3695.0
Alfatah,NESTLE COFFEE MATE RICHER AND CREAMIER ORIGINAL 400 GM,1295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_2_2556d1e9-bbaf-48b3-9ba4-6cc1b1695693.jpg?v=1716633234,https://alfatah.pk/products/nestle-coffee-mate-richer-and-creamier-original-400-gm,400.0,g,0,400.0,no-pack,3.2375,PKR/g,1295.0
Alfatah,MOVENPICK COFFEE RISTRETTO 55 GM,1695.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/7640126171197_f2f55fa0-bc73-46b3-8a4c-40be6613c9ce.jpg?v=1761396208,https://alfatah.pk/products/movenpick-coffee-ristretto-55-gm,55.0,g,0,55.0,no-pack,30.818181818181817,PKR/g,1695.0
