site,category,section,product_id,title,price,image_url,product_url
Rainbow,GROCERY,FLOUR,2035382,Uncle Brans Tempura Flour,940.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/UNCLE%20BRANS%20TEMPURA%20FLOUR%20.png,
Rainbow,GROCERY,FLOUR,2035357,Grains Whole Wheat Atta,729.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/GRAINS%20WHOLE%20WHEAT%20ATTA.png,
Rainbow,GROCERY,FLOUR,1954180,Sunridge Flour Super White,769.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1709267364.png,
Rainbow,GROCERY,FLOUR,1954177,Sunridge Flour Super Fine,759.0,https://hypr-images.s3.amazonaws.com/images/rainbowcc/wapda-town-lahore-wtl/8966000040335-5ed1d25d-7509-4b4f-b6e0-0ee335f7fafa.octet-stream,
Rainbow,GROCERY,FLOUR,1954174,Punjab Atta Mild Fine,719.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1693027994.jpg,
Rainbow,GROCERY,FLOUR,2293114,Nawab Ganic Multigrain Flour,319.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/Nawab%20Ganic%20Multigrain%20Flour%20900Gm.png,
Rainbow,GROCERY,FLOUR,2293113,Nawab Ganic Cracked Barley,235.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/Nawab%20Ganic%20Cracked%20Barley%20500Gm.png,
Rainbow,GROCERY,FLOUR,2293111,Kisan Rice Flour,88.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/Kisan%20Rice%20Flour%20400Gm.png,
Rainbow,GROCERY,FLOUR,2293110,Al Kissan Multigrain Atta,849.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/Al%20Kissan%20Multigrain%20Atta%202.5Kg.png,
Rainbow,GROCERY,FLOUR,2293108,Kisan Corn Flour,95.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/Kisan%20Corn%20Flour%20500Gm.png,
Rainbow,GROCERY,FLOUR,2035381,Smartly Fresh Yellow Maize Flour,300.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SMARTLY%20FRESH%20YELLOW%20MAIZE%20FLOUR%20.png,
Rainbow,GROCERY,FLOUR,2035366,Daali Garnola,885.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/DAALI%20GARNOLA%20%20.png,
Rainbow,GROCERY,FLOUR,2035348,Daali 100% Whole Wheat Atta,870.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/DAALI%20100%%20WHOLE%20WHEAT%20ATTA%20.png,
Rainbow,GROCERY,FLOUR,2035349,Daali 4 Grain Atta,605.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/DAALI%204%20GRAIN%20ATTA%20%20.png,
Rainbow,GROCERY,FLOUR,2035350,Daali Organic Quinoa Gluten Free,1209.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/DAALI%20ORGANIC%20QUINOA%20%20GLUTEN%20FREE%20.png,
Rainbow,GROCERY,FLOUR,2035351,Fauji Corn Flour -37255,160.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/FAUJI%20CORN%20FLOUR%20-37255.png,
Rainbow,GROCERY,FLOUR,2035352,Fauji Rice Flour,200.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/FAUJI%20RICE%20FLOUR.png,
Rainbow,GROCERY,FLOUR,2035353,Food Net Corn Flour,175.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/FOOD%20NET%20CORN%20FLOUR%20.png,
Rainbow,GROCERY,FLOUR,2035354,Mughal Fortified Chakki Atta Bag,579.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/MUGHAL%20FORTIFIED%20CHAKKI%20ATTA%20%20BAG.png,
Rainbow,GROCERY,FLOUR,2035356,Oreal Cornflour,149.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/OREAL%20CORNFLOUR%20.png,
Rainbow,GROCERY,FLOUR,2035362,Bakea Rice Flour,115.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/BAKEA%20RICE%20FLOUR%20.png,
Rainbow,GROCERY,FLOUR,2035363,Daali Bajra Flour Gluten Free,190.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/DAALI%20BAJRA%20FLOUR%20%20GLUTEN%20FREE%20.png,
Rainbow,GROCERY,FLOUR,2035364,Daali Barley Flour,295.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/DAALI%20BARLEY%20FLOUR%20.png,
Rainbow,GROCERY,FLOUR,2035365,Daali Barley Porridge,220.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,FLOUR,1954183,Daali 100% Whole Wheat Fine Atta,870.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,FLOUR,2035367,Earth`S Flour Rice,259.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,FLOUR,2035368,Food Net Cornflour,99.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,FLOUR,2035369,Food Net Rice Flour,195.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,FLOUR,2035370,Italiano Tempura Flour Mix,195.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,FLOUR,2035371,Smartly Fresh All Porpose Flour,265.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,FLOUR,2035373,Smartly Fresh Brown Rice Flour,355.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,FLOUR,2035374,Smartly Fresh Gluten Free Flour,840.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SMARTLY%20FRESH%20GLUTEN%20FREE%20FLOUR.png,
Rainbow,GROCERY,FLOUR,2035375,Smartly Fresh Gluten Free Flour,600.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SMARTLY%20FRESH%20GLUTEN%20FREE%20FLOUR%20700gm.png,
Rainbow,GROCERY,FLOUR,2035376,Smartly Fresh Millet Flour,265.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SMARTLY%20FRESH%20MILLET%20FLOUR.png,
Rainbow,GROCERY,FLOUR,2035377,Smartly Fresh Multi Grain Flour,500.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SMARTLY%20FRESH%20MULTI%20GRAIN%20FLOUR.png,
Rainbow,GROCERY,FLOUR,2035378,Smartly Fresh Rice Flour,210.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SMARTLY%20FRESH%20RICE%20FLOUR%20.png,
Rainbow,GROCERY,FLOUR,2035379,Smartly Fresh Rice Flour,280.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/httpsg-cdn.blinkco.ioordering-system55544gallerySMARTLY%20FRESH%20RICE%20FLOUR%20.png.png,
Rainbow,GROCERY,FLOUR,2035380,Smartly Fresh White Maize Flour,315.0,https://g-cdn.blinkco.io/ordering-system/55544/gallery/SMARTLY%20FRESH%20WHITE%20MAIZE%20FLOUR.png,
Rainbow,GROCERY,PULSES,2036236,Baisen Premium,274.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,PULSES,1959436,Dal Moong Wash Premium,469.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,PULSES,2192755,Channa Black Mota Premium,335.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,PULSES,2036248,Lobia Red Premium,594.0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Rainbow,GROCERY,PULSES,1959432,Dal Mash Wash Premium,615.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1709108900.jpg,
Rainbow,GROCERY,PULSES,1959431,Dal Channa Bareek Premium,304.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1709107797.jpg,
Rainbow,GROCERY,PULSES,2265603,Dal Masoor Red Bareek Dco,290.0,https://em-cdn.eatmubarak.pk/55544/dish_image/1709107720.jpg,
