site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_volume_ml,normalized_weight_g,notes,unit_price,unit_price_unit,per_unit_price,deal_score,deal_tier,price_percentile,value_score,store_rank,total_size,price_per_size,pack_efficiency,ml_predicted_score
Naheed,"L'Oreal Paris 6 Oil Nourish Scalp + Hair Nourishing Shampoo, For All Hair Types, 360ml",910.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/6/o/6oilshampoo_360ml_1.jpg,https://www.naheed.pk/l-oreal-paris-6-oil-nourish-scalp-hair-nourishing-shampoo-for-all-hair-types-360ml,360.0,ml,0,360.0,360.0,no-pack,2.5277777777777777,PKR/ml,910.0,61.076696165191734,Good,32.59587020648967,56.076696165191734,2,720.0,1.2638888888888888,1.0,61.10949852507367
Naheed,"L'Oreal Dream Long Restoring Shampoo, 175ml - Repairs Weakened Hair With Castor Oil & Vitamins",520.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/d/r/dreamlongshampoo_175ml_1.jpg,https://www.naheed.pk/l-oreal-dream-long-restoring-shampoo-175ml-repairs-weakened-hair-with-castor-oil-vitamins,175.0,ml,0,175.0,175.0,no-pack,2.9714285714285715,PKR/ml,520.0,59.73451327433629,Good,11.946902654867257,59.73451327433629,2,350.0,1.4857142857142858,1.0,59.73811314791409
Naheed,Soya Supreme Cooking Oil 5 Litres Bottle,2990.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1041794-1.jpg,https://www.naheed.pk/soya-supreme-cooking-oil-5-litres-bottle,5.0,l,0,5000.0,5000.0,no-pack,0.598,PKR/ml,2990.0,63.982300884955755,Good,71.68141592920354,53.982300884955755,2,10000.0,0.299,1.0,64.02902654867263
Naheed,Canolive Premium Canola And Sunflower Oil 3 Litres Bottle,2072.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1040235-1.jpg,https://www.naheed.pk/canolive-premium-canola-and-sunflower-oil-3-litres-bottle,3.0,l,0,3000.0,3000.0,no-pack,0.6906666666666667,PKR/ml,2072.0,65.28023598820059,Good,54.27728613569322,55.28023598820059,2,6000.0,0.3453333333333333,1.0,65.36702313419131
Naheed,Soya Supreme Cooking Oil 3 Litres Bottle,1824.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1041793-1.jpg,https://www.naheed.pk/soya-supreme-cooking-oil-3-litres-bottle,3.0,l,0,3000.0,3000.0,no-pack,0.608,PKR/ml,1824.0,69.05604719764011,Good,51.91740412979351,59.05604719764011,2,6000.0,0.304,1.0,69.28395490939748
Naheed,Dalda Cooking Oil 4.5 Litres Bottle,2735.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1041527-1.jpg,https://www.naheed.pk/dalda-cooking-oil-4-5-litres-bottle,4.5,l,0,4500.0,4500.0,no-pack,0.6077777777777778,PKR/ml,2735.0,64.10029498525074,Good,64.74926253687315,54.10029498525074,2,9000.0,0.3038888888888889,1.0,64.03418598117723
Naheed,"Garnier Men Oil Clear Deep Cleansing Face Wash, 100gm",849.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/g/a/garnier_men_oil_control_face_wash_100_mljpg10.jpg,https://www.naheed.pk/garnier-men-oil-clear-deep-cleansing-face-wash-100gm,100.0,g,0,100.0,100.0,no-pack,8.49,PKR/ml,849.0,36.57817109144543,Poor,32.00589970501475,36.57817109144543,2,200.0,4.245,1.0,36.62542594082414
Naheed,Dalda Cooking Oil 3 Litres Bottle,1830.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1041090-1.jpg,https://www.naheed.pk/dalda-cooking-oil-3-litres-bottle,3.0,l,0,3000.0,3000.0,no-pack,0.61,PKR/ml,1830.0,68.49557522123894,Good,52.21238938053098,58.49557522123893,2,6000.0,0.305,1.0,68.75294915016161
Naheed,Schwarzkopf Igora Royal Oil Developer 6% 20 Vol 60ml,975.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/1/1160643-1.jpg,https://www.naheed.pk/schwarzkopf-igora-royal-oil-developer-6-20-vol-60ml,60.0,ml,0,60.0,60.0,no-pack,16.25,PKR/ml,975.0,34.10029498525074,Poor,33.775811209439524,34.10029498525074,2,120.0,8.125,1.0,34.80029498525075
Naheed,"Maybelline New York Fit Me Matte + Poreless Setting Spray, Transfer-proof, 24H Oil-Control Formula with Witch Hazel, 60 ml",3799.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/f/i/fitmespray-01_1.jpg,https://www.naheed.pk/maybelline-new-york-fit-me-matte-poreless-setting-spray-transfer-proof-24h-oil-control-formula-with-witch-hazel-60-ml,60.0,ml,0,60.0,60.0,no-pack,63.31666666666667,PKR/ml,3799.0,15.280235988200594,Poor,77.28613569321534,15.280235988200594,2,120.0,31.658333333333335,1.0,16.863126843657795
Naheed,"Tresemme Keratin Smooth With Keratin And Argan Oil, Pro Collection Shampoo, 370ml",,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/u/iu1187851-1.jpg,https://www.naheed.pk/tresemme-keratin-smooth-with-keratin-and-argan-oil-pro-collection-shampoo-370ml,370.0,ml,0,370.0,370.0,no-pack,,,,,Poor,,,2,740.0,,1.0,
Alfatah,SEASONS CANOLA OIL GALON 10 LTR,5495.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/1037488-1.jpg?v=1690226048,https://alfatah.pk/products/seasons-canola-oil-galon-10-ltr,10.0,l,0,10000.0,10000.0,no-pack,0.5495,PKR/ml,5495.0,71.17994100294985,Good,83.33333333333334,61.179941002949846,4,20000.0,0.27475,1.0,70.90556538839719
