site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price,deal_score,deal_tier,price_percentile,value_score,store_rank,ml_predicted_score,product_cluster
Alfatah,LURPAK BUTTER SPREADABLE UNSALTED 250 GM,1420.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/5740900103726_1.jpg?v=1706009146,https://alfatah.pk/products/lurpak-butter-spreadable-unsalted-250-gm,250.0,g,0,250.0,no-pack,5.68,PKR/g,1420.0,15.617839039626775,Poor,80.44871794871796,10.14727224170743,3,15.654684399401551,1
Alfatah,LURPAK BUTTER SLIGHTLY SALTED 200 GM,1245.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/5740900861305_1.jpg?v=1706009601,https://alfatah.pk/products/lurpak-butter-slightly-salted-200-gm,200.0,g,0,200.0,no-pack,6.225,PKR/g,1245.0,17.182626703258457,Poor,72.75641025641025,9.251549093094317,3,17.398839779008714,1
Alfatah,DANISA BUTTER COOKIES TRADITIONAL 90 GM,375.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8996001303702.jpg?v=1690211690,https://alfatah.pk/products/danisa-butter-cookies-traditional-90-gm,90.0,g,0,90.0,no-pack,4.166666666666667,PKR/g,375.0,31.447130737694145,Poor,23.076923076923077,13.863129692004062,3,31.05314182406426,1
Alfatah,PALMERS CREAM NURSING BUTTER 30 GM,1995.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000000139_bee7b062-19c5-4c17-a9ba-d211eef24294.jpg?v=1751454525,https://alfatah.pk/products/palmers-cream-nursing-butter-30-gm,30.0,g,0,30.0,no-pack,66.5,PKR/g,1995.0,9.551225290257877,Poor,89.74358974358975,0.7900327400800575,3,9.5757727000028,1
Alfatah,PEANUT BUTTER WITH HONEY CHUNKY 450 GM,1295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/2024040001603_b2b703a5-7f09-4886-9b19-9d1cda87af1b.jpg?v=1737205393,https://alfatah.pk/products/peanut-butter-with-honey-chunky-450-gm,450.0,g,0,450.0,no-pack,2.8777777777777778,PKR/g,1295.0,20.484116439967792,Poor,76.92307692307693,20.10944010153434,3,20.2735844419312,1
Alfatah,PEANUT BUTTER WITH HONEY CREAMY 450 GM,1295.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/2024040001580_29ab6c3d-86f5-4c86-8e7f-a41fcbb337c9.jpg?v=1737205390,https://alfatah.pk/products/peanut-butter-with-honey-creamy-450-gm,450.0,g,0,450.0,no-pack,2.8777777777777778,PKR/g,1295.0,20.484116439967792,Poor,76.92307692307693,20.10944010153434,3,20.2735844419312,1
Alfatah,JIF SPREAD PEANUT BUTTER CREAMY 454 GM,1695.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/50cf8f35-7040-463c-a644-066d191101e9.jpg?v=1725431776,https://alfatah.pk/products/jif-spread-peanut-butter-creamy-454-gm,454.0,g,0,454.0,no-pack,3.7334801762114536,PKR/g,1695.0,16.30915083064953,Poor,86.21794871794873,15.48132095003355,3,16.391423943241907,1
Alfatah,LURPAK OLIVE OIL LIGHTER BUTTER 250GM BASIC,1420.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/5740900401556_3cb4f8d4-bdad-43ef-94ab-fd1785ca8b01.jpg?v=1746790568,https://alfatah.pk/products/lurpak-olive-oil-lighter-butter-250gm-basic,250.0,g,0,250.0,no-pack,5.68,PKR/g,1420.0,15.617839039626775,Poor,80.44871794871796,10.14727224170743,3,15.654684399401551,1
Alfatah,FF SALTED BUTTER 8 GM (20 PCS),1020.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/735745717624_3360df14-9dca-4060-96bb-5787a06d2643.jpg?v=1753698126,https://alfatah.pk/products/ff-salted-butter-8-gm-20-pcs,8.0,g,20,8.0,,127.5,PKR/g,51.0,30.954499476481338,Poor,63.46153846153846,0.3719361543566594,3,30.917710737403628,3
Alfatah,FF SALTED BUTTER 8 GM (10 PCS),520.0,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/735745717623_0ec49e96-0954-4f46-a762-48782f0f7220.jpg?v=1753102107,https://alfatah.pk/products/ff-salted-butter-8-gm-10-pcs,8.0,g,10,8.0,,65.0,PKR/g,52.0,38.50159965713983,Poor,33.97435897435898,0.8101994265156944,3,38.43695217655594,3
