site,title,price,image_url,product_url,size_value,size_unit,pack_count,normalized_quantity,notes,unit_price,unit_price_unit,per_unit_price,deal_score,deal_tier,price_percentile,value_score,store_rank,ml_predicted_score,product_cluster
Naheed,"ATCO Laboratories Conaz Lotion, Shampoo Based Scalp Lotion, 60ml",348.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1013444-1.jpg,https://www.naheed.pk/atco-laboratories-conaz-lotion-shampoo-based-scalp-lotion-60ml,60.0,ml,0,60.0,no-pack,5.8,PKR/ml,348.0,26.82414514044738,Poor,20.481927710843372,17.344906557433212,4,26.79334293208322,0
Naheed,"Nivea Nourishing Body Lotion, With Deep Moisture Serum, Dry To Very Dry Skin, 400ml",2200.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1053048-rpl-1.jpg,https://www.naheed.pk/nivea-nourishing-body-lotion-with-deep-moisture-serum-dry-to-very-dry-skin-400ml,400.0,ml,0,400.0,no-pack,5.5,PKR/ml,2200.0,9.4503774996421,Poor,92.16867469879519,18.714704322889894,4,9.467473386909548,1
Naheed,Vaseline Intensive Care Dry Skin Repair Lotion 400ml (Imported),1400.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/1/1125845-1_1.jpg,https://www.naheed.pk/vaseline-intensive-care-dry-skin-repair-lotion-400ml-imported,400.0,ml,0,400.0,no-pack,3.5,PKR/ml,1400.0,21.52760685809004,Poor,68.07228915662651,33.84753675515432,4,21.51330731972616,1
Naheed,"Nivea Shea Smooth Dry Skin Body Lotion, With Deep Moisture Serum, 400ml",2200.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/0/1053643-1.jpg,https://www.naheed.pk/nivea-shea-smooth-dry-skin-body-lotion-with-deep-moisture-serum-400ml,400.0,ml,0,400.0,no-pack,5.5,PKR/ml,2200.0,9.4503774996421,Poor,92.16867469879519,18.714704322889894,4,9.467473386909548,1
Naheed,Vaseline Intensive Care Cocoa Glow Pure Cocoa Butter Lotion 400ml (Imported),1400.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/1/1125844-1_1.jpg,https://www.naheed.pk/vaseline-intensive-care-cocoa-glow-pure-cocoa-butter-lotion-400ml-imported,400.0,ml,0,400.0,no-pack,3.5,PKR/ml,1400.0,21.52760685809004,Poor,68.07228915662651,33.84753675515432,4,21.51330731972616,1
Naheed,"Vaseline Healthy Bright UV Extra Brightening GliutaGlow Lotion, Indonesia, 100ml",450.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/c/ic-1107051-rpl-1.jpg,https://www.naheed.pk/vaseline-healthy-bright-uv-extra-brightening-gliutaglow-lotion-indonesia-100ml,100.0,ml,0,100.0,no-pack,4.5,PKR/ml,450.0,25.509207878555777,Poor,37.34939759036144,24.59973207740299,4,25.538383158564788,0
Naheed,"Johnson's Soft Baby Lotion, With Coconut Oil, Paraben Free, 200ml",999.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/1/1187111-7.3.25-1.jpg,https://www.naheed.pk/johnson-s-soft-baby-lotion-with-coconut-oil-paraben-free-200ml,200.0,ml,0,200.0,no-pack,4.995,PKR/ml,999.0,18.202071764436738,Poor,61.44578313253012,21.392132755960827,4,18.15746563674646,0
Naheed,"Pond's Triple Vitamin Moisturizing Lotion, Silky Smooth Skin 200ml",600.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/u/iu1045159-1.jpg,https://www.naheed.pk/pond-s-triple-vitamin-moisturizing-lotion-silky-smooth-skin-200ml,200.0,ml,0,200.0,no-pack,3.0,PKR/ml,600.0,28.66938731594542,Poor,50.602409638554214,40.78331320099759,4,28.710926753870467,0
Naheed,"Nivea Natural Fairness UV Filter Body Lotion, Normal To Dry Skin, 400ml",2200.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/i/u/iun1007960-1.jpg,https://www.naheed.pk/nivea-natural-fairness-uv-filter-body-lotion-normal-to-dry-skin-400ml,400.0,ml,0,400.0,no-pack,5.5,PKR/ml,2200.0,9.4503774996421,Poor,92.16867469879519,18.714704322889894,4,9.467473386909548,1
Naheed,"Nivea Cocoa Butter Dry Skin Body Lotion, With Deep Moisture Serum, 250ml",1800.0,https://media.naheed.pk/catalog/product/cache/57044254b6ba66615c533891fd7cf70f/1/1/1107271-1.jpg,https://www.naheed.pk/nivea-cocoa-butter-dry-skin-body-lotion-with-deep-moisture-serum-250ml,250.0,ml,0,250.0,no-pack,7.2,PKR/ml,1800.0,10.71428010242074,Poor,77.10843373493977,12.46181022742686,4,10.72940926343175,1
